Player,Team,Conference,Date,Position,Height,Weight,Age,Draft_Year,Seasons_in_league,Season,Season_short,Pre_draft_Team,Real_value,Height_CM,Weight_KG,Last_Season
Ben Simmons,Philadelphia Sixers,East,20-Jan-20,PF,6'10,230,23,2016,3,2019-2020,2020,LSU,0.5,208,104,1
Kawhi Leonard,Los Angeles Clippers,West,20-Jan-20,F,6'7,230,28,2011,8,2019-2020,2020,San Diego State,0.5,201,104,1
Josh Richardson,Philadelphia Sixers,East,13-Jan-20,G,6'6,200,26,2015,4,2019-2020,2020,Tennessee,0.5,198,90,1
DeMar DeRozan,San Antonio Spurs,West,13-Jan-20,GF,6'7,220,30,2009,10,2019-2020,2020,USC,0.5,201,99,1
Giannis Antetokounmpo,Milwaukee Bucks,East,6-Jan-20,F,6'11,242,25,2013,6,2019-2020,2020,Filathlitikos Div II Greece (Greece),0.5,211,109,1
LeBron James,Los Angeles Lakers,West,6-Jan-20,F,6'8,250,35,2003,16,2019-2020,2020,St. Vincent St. Mary High School (Ohio),0.5,203,113,1
Jaylen Brown,Boston Celtics,East,30-Dec-19,SF,6'7,220,23,2016,3,2019-2020,2020,California,0.5,201,99,1
Brandon Ingram,New Orleans Pelicans,West,30-Dec-19,SF,6'9,190,22,2016,3,2019-2020,2020,Duke,0.5,206,86,1
Kyle Lowry,Toronto Raptors,East,23-Dec-19,PG,6'1,196,33,2006,13,2019-2020,2020,Villanova,0.5,185,88,1
Dennis Schroder,Oklahoma City Thunder,West,23-Dec-19,PG,6'1,172,26,2013,6,2019-2020,2020,Basketball Lowen Braunschweig (Germany),0.5,185,78,1
Bam Adebayo,Miami Heat,East,16-Dec-19,C,6'10,255,22,2017,2,2019-2020,2020,Kentucky,0.5,208,115,1
LeBron James,Los Angeles Lakers,West,16-Dec-19,F,6'8,250,35,2003,16,2019-2020,2020,St. Vincent St. Mary High School (Ohio),0.5,203,113,1
Jimmy Butler,Miami Heat,East,9-Dec-19,GF,6'8,232,30,2011,8,2019-2020,2020,Marquette,0.5,203,105,1
Anthony Davis,Los Angeles Lakers,West,9-Dec-19,PF,6'10,253,26,2012,7,2019-2020,2020,Kentucky,0.5,208,114,1
Giannis Antetokounmpo,Milwaukee Bucks,East,2-Dec-19,F,6'11,242,25,2013,6,2019-2020,2020,Filathlitikos Div II Greece (Greece),0.5,211,109,1
Carmelo Anthony,Portland Trail Blazers,West,2-Dec-19,F,6'8,240,35,2003,16,2019-2020,2020,Syracuse,0.5,203,108,1
Spencer Dinwiddie,Brooklyn Nets,East,25-Nov-19,PG,6'6,210,26,2014,5,2019-2020,2020,Colorado,0.5,198,95,1
Luka Doncic,Dallas Mavericks,West,25-Nov-19,SF,6'7,218,21,2018,1,2019-2020,2020,Real Madrid (Spain),0.5,201,98,1
Nikola Vucevic,Orlando Magic,East,18-Nov-19,PF,7'0,260,29,2011,8,2019-2020,2020,USC,0.5,213,118,1
James Harden,Houston Rockets,West,18-Nov-19,SG,6'5,220,30,2009,10,2019-2020,2020,Arizona State,0.5,196,99,1
Pascal Siakam,Toronto Raptors,East,11-Nov-19,F,6'9,230,25,2016,3,2019-2020,2020,New Mexico State,0.5,206,104,1
James Harden,Houston Rockets,West,11-Nov-19,SG,6'5,220,30,2009,10,2019-2020,2020,Arizona State,0.5,196,99,1
Giannis Antetokounmpo,Milwaukee Bucks,East,4-Nov-19,F,6'11,242,25,2013,6,2019-2020,2020,Filathlitikos Div II Greece (Greece),0.5,211,109,1
Anthony Davis,Los Angeles Lakers,West,4-Nov-19,PF,6'10,253,26,2012,7,2019-2020,2020,Kentucky,0.5,208,114,1
Trae Young,Atlanta Hawks,East,28-Oct-19,PG,6'2,180,21,2018,1,2019-2020,2020,Oklahoma,0.5,188,81,1
Karl-Anthony Towns,Minnesota Timberwolves,West,28-Oct-19,C,7'0,248,24,2015,4,2019-2020,2020,Kentucky,0.5,213,112,1
Kemba Walker,Charlotte Hornets,East,8-Apr-19,G,6'1,184,28,2011,7,2018-2019,2019,Connecticut,0.5,185,83,0
Russell Westbrook,Oklahoma City Thunder,West,8-Apr-19,G,6'3,200,30,2008,10,2018-2019,2019,UCLA,0.5,190,90,0
Andre Drummond,Detroit Pistons,East,1-Apr-19,C,6'11,279,25,2012,6,2018-2019,2019,Connecticut,0.5,211,126,0
Damian Lillard,Portland Trail Blazers,West,1-Apr-19,G,6'3,195,28,2012,6,2018-2019,2019,Weber State,0.5,190,88,0
Trae Young,Atlanta Hawks,East,25-Mar-19,PG,6'2,180,20,2018,0,2018-2019,2019,Oklahoma,0.5,188,81,0
James Harden,Houston Rockets,West,25-Mar-19,SG,6'5,220,29,2009,9,2018-2019,2019,Arizona State,0.5,196,99,0
Bradley Beal,Washington Wizards,East,18-Mar-19,SG,6'3,207,25,2012,6,2018-2019,2019,Florida,0.5,190,93,0
Rudy Gobert,Utah Jazz,West,18-Mar-19,C,7'1,245,26,2013,5,2018-2019,2019,Cholet Basket (France),0.5,216,111,0
Andre Drummond,Detroit Pistons,East,11-Mar-19,C,6'11,279,25,2012,6,2018-2019,2019,Connecticut,0.5,211,126,0
Mike Conley,Memphis Grizzlies,West,11-Mar-19,PG,6'1,175,31,2007,11,2018-2019,2019,Ohio State,0.5,185,79,0
Ben Simmons,Philadelphia Sixers,East,4-Mar-19,PF,6'10,230,22,2016,2,2018-2019,2019,LSU,0.5,208,104,0
Donovan Mitchell,Utah Jazz,West,4-Mar-19,SG,6'3,215,22,2017,1,2018-2019,2019,Louisville,0.5,190,97,0
Bojan Bogdanovic,Indiana Pacers,East,11-Feb-19,F,6'8,216,29,2011,4,2018-2019,2019,KK Cibona (Croatia),0.5,203,98,0
Paul George,Oklahoma City Thunder,West,11-Feb-19,GF,6'9,220,28,2010,8,2018-2019,2019,Fresno State,0.5,206,99,0
Giannis Antetokounmpo,Milwaukee Bucks,East,4-Feb-19,F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Nikola Jokic,Denver Nuggets,West,4-Feb-19,C,7'0,250,24,2014,3,2018-2019,2019,KK Mega Bemax (Serbia),0.5,213,113,0
Giannis Antetokounmpo,Milwaukee Bucks,East,28-Jan-19,F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Paul George,Oklahoma City Thunder,West,28-Jan-19,GF,6'9,220,28,2010,8,2018-2019,2019,Fresno State,0.5,206,99,0
D'Angelo Russell,Brooklyn Nets,East,21-Jan-19,SG,6'5,198,23,2015,3,2018-2019,2019,Ohio State,0.5,196,89,0
James Harden,Houston Rockets,West,21-Jan-19,SG,6'5,220,29,2009,9,2018-2019,2019,Arizona State,0.5,196,99,0
Kawhi Leonard,Toronto Raptors,East,14-Jan-19,F,6'7,230,27,2011,7,2018-2019,2019,San Diego State,0.5,201,104,0
Donovan Mitchell,Utah Jazz,West,14-Jan-19,SG,6'3,215,22,2017,1,2018-2019,2019,Louisville,0.5,190,97,0
Joel Embiid,Philadelphia Sixers,East,7-Jan-19,C,7'0,250,24,2014,4,2018-2019,2019,Kansas,0.5,213,113,0
Nikola Jokic,Denver Nuggets,West,7-Jan-19,C,7'0,250,24,2014,3,2018-2019,2019,KK Mega Bemax (Serbia),0.5,213,113,0
Giannis Antetokounmpo,Milwaukee Bucks,East,31-Dec-18,F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
James Harden,Houston Rockets,West,31-Dec-18,SG,6'5,220,29,2009,9,2018-2019,2019,Arizona State,0.5,196,99,0
Giannis Antetokounmpo,Milwaukee Bucks,East,24-Dec-18,F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Paul George,Oklahoma City Thunder,West,24-Dec-18,GF,6'9,220,28,2010,8,2018-2019,2019,Fresno State,0.5,206,99,0
Thaddeus Young,Indiana Pacers,East,17-Dec-18,F,6'8,221,30,2007,11,2018-2019,2019,Georgia Tech,0.5,203,100,0
James Harden,Houston Rockets,West,17-Dec-18,SG,6'5,220,29,2009,9,2018-2019,2019,Arizona State,0.5,196,99,0
Bradley Beal,Washington Wizards,East,10-Dec-18,SG,6'3,207,25,2012,6,2018-2019,2019,Florida,0.5,190,93,0
Stephen Curry,Golden State Warriors,West,10-Dec-18,G,6'3,190,30,2009,9,2018-2019,2019,Davidson,0.5,190,86,0
Kawhi Leonard,Toronto Raptors,East,3-Dec-18,F,6'7,230,27,2011,7,2018-2019,2019,San Diego State,0.5,201,104,0
Paul Millsap,Denver Nuggets,West,3-Dec-18,FC,6'8,246,34,2006,12,2018-2019,2019,Louisiana Tech,0.5,203,111,0
Giannis Antetokounmpo,Milwaukee Bucks,East,26-Nov-18,F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Tobias Harris,Los Angeles Clippers,West,26-Nov-18,F,6'9,235,26,2011,7,2018-2019,2019,Tennessee,0.5,206,106,0
Nikola Vucevic,Orlando Magic,East,19-Nov-18,PF,7'0,260,28,2011,7,2018-2019,2019,USC,0.5,213,118,0
Anthony Davis,New Orleans Pelicans,West,19-Nov-18,PF,6'10,253,25,2012,6,2018-2019,2019,Kentucky,0.5,208,114,0
Pascal Siakam,Toronto Raptors,East,12-Nov-18,F,6'9,230,24,2016,2,2018-2019,2019,New Mexico State,0.5,206,104,0
C.J. McCollum,Portland Trail Blazers,West,12-Nov-18,G,6'3,190,27,2013,5,2018-2019,2019,Lehigh,0.5,190,86,0
Victor Oladipo,Indiana Pacers,East,5-Nov-18,G,6'4,210,26,2013,5,2018-2019,2019,Indiana,0.5,193,95,0
Russell Westbrook,Oklahoma City Thunder,West,5-Nov-18,G,6'3,200,30,2008,10,2018-2019,2019,UCLA,0.5,190,90,0
Giannis Antetokounmpo,Milwaukee Bucks,East,29-Oct-18,F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Stephen Curry,Golden State Warriors,West,29-Oct-18,G,6'3,190,30,2009,9,2018-2019,2019,Davidson,0.5,190,86,0
Kemba Walker,Charlotte Hornets,East,22-Oct-18,G,6'1,184,28,2011,7,2018-2019,2019,Connecticut,0.5,185,83,0
Nikola Jokic,Denver Nuggets,West,22-Oct-18,C,7'0,250,24,2014,3,2018-2019,2019,KK Mega Bemax (Serbia),0.5,213,113,0
Ben Simmons,Philadelphia Sixers,East,9-Apr-18,PF,6'10,230,21,2016,1,2017-2018,2018,LSU,0.5,208,104,0
Nikola Jokic,Denver Nuggets,West,9-Apr-18,C,7'0,250,23,2014,2,2017-2018,2018,KK Mega Bemax (Serbia),0.5,213,113,0
Victor Oladipo,Indiana Pacers,East,2-Apr-18,G,6'4,210,25,2013,4,2017-2018,2018,Indiana,0.5,193,95,0
Damian Lillard,Portland Trail Blazers,West,2-Apr-18,G,6'3,195,27,2012,5,2017-2018,2018,Weber State,0.5,190,88,0
LeBron James,Cleveland Cavaliers,East,26-Mar-18,F,6'8,250,33,2003,14,2017-2018,2018,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
LaMarcus Aldridge,San Antonio Spurs,West,26-Mar-18,FC,6'11,265,32,2006,11,2017-2018,2018,Texas,0.5,211,120,0
LeBron James,Cleveland Cavaliers,East,19-Mar-18,F,6'8,250,33,2003,14,2017-2018,2018,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Russell Westbrook,Oklahoma City Thunder,West,19-Mar-18,G,6'3,200,29,2008,9,2017-2018,2018,UCLA,0.5,190,90,0
DeMar DeRozan,Toronto Raptors,East,12-Mar-18,GF,6'7,220,28,2009,8,2017-2018,2018,USC,0.5,201,99,0
Damian Lillard,Portland Trail Blazers,West,12-Mar-18,G,6'3,195,27,2012,5,2017-2018,2018,Weber State,0.5,190,88,0
DeMar DeRozan,Toronto Raptors,East,5-Mar-18,GF,6'7,220,28,2009,8,2017-2018,2018,USC,0.5,201,99,0
Anthony Davis,New Orleans Pelicans,West,5-Mar-18,PF,6'10,253,24,2012,5,2017-2018,2018,Kentucky,0.5,208,114,0
Joel Embiid,Philadelphia Sixers,East,12-Feb-18,C,7'0,250,23,2014,3,2017-2018,2018,Kansas,0.5,213,113,0
James Harden,Houston Rockets,West,12-Feb-18,SG,6'5,220,28,2009,8,2017-2018,2018,Arizona State,0.5,196,99,0
Andre Drummond,Detroit Pistons,East,5-Feb-18,C,6'11,279,24,2012,5,2017-2018,2018,Connecticut,0.5,211,126,0
James Harden,Houston Rockets,West,5-Feb-18,SG,6'5,220,28,2009,8,2017-2018,2018,Arizona State,0.5,196,99,0
Khris Middleton,Milwaukee Bucks,East,29-Jan-18,SF,6'8,222,26,2012,5,2017-2018,2018,Texas A&M,0.5,203,100,0
Stephen Curry,Golden State Warriors,West,29-Jan-18,G,6'3,190,29,2009,8,2017-2018,2018,Davidson,0.5,190,86,0
Joel Embiid,Philadelphia Sixers,East,22-Jan-18,C,7'0,250,23,2014,3,2017-2018,2018,Kansas,0.5,213,113,0
Damian Lillard,Portland Trail Blazers,West,22-Jan-18,G,6'3,195,27,2012,5,2017-2018,2018,Weber State,0.5,190,88,0
Goran Dragic,Miami Heat,East,15-Jan-18,G,6'3,190,31,2008,9,2017-2018,2018,Union Olimpija (Slovenia),0.5,190,86,0
Lou Williams,Los Angeles Clippers,West,15-Jan-18,G,6'1,175,31,2005,12,2017-2018,2018,South Gwinnett High School (Georgia),0.5,185,79,0
DeMar DeRozan,Toronto Raptors,East,8-Jan-18,GF,6'7,220,28,2009,8,2017-2018,2018,USC,0.5,201,99,0
Stephen Curry,Golden State Warriors,West,8-Jan-18,G,6'3,190,29,2009,8,2017-2018,2018,Davidson,0.5,190,86,0
Bradley Beal,Washington Wizards,East,2-Jan-18,SG,6'3,207,24,2012,5,2017-2018,2018,Florida,0.5,190,93,0
Lou Williams,Los Angeles Clippers,West,2-Jan-18,G,6'1,175,31,2005,12,2017-2018,2018,South Gwinnett High School (Georgia),0.5,185,79,0
DeMar DeRozan,Toronto Raptors,East,26-Dec-17,GF,6'7,220,28,2009,8,2017-2018,2018,USC,0.5,201,99,0
Russell Westbrook,Oklahoma City Thunder,West,26-Dec-17,G,6'3,200,29,2008,9,2017-2018,2018,UCLA,0.5,190,90,0
LeBron James,Cleveland Cavaliers,East,18-Dec-17,F,6'8,250,33,2003,14,2017-2018,2018,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Chris Paul,Houston Rockets,West,18-Dec-17,PG,6'0,175,32,2005,12,2017-2018,2018,Wake Forest,0.5,183,79,0
Victor Oladipo,Indiana Pacers,East,11-Dec-17,G,6'4,210,25,2013,4,2017-2018,2018,Indiana,0.5,193,95,0
Kevin Durant,Golden State Warriors,West,11-Dec-17,SF,6'9,240,29,2007,10,2017-2018,2018,Texas,0.5,206,108,0
LeBron James,Cleveland Cavaliers,East,4-Dec-17,F,6'8,250,33,2003,14,2017-2018,2018,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
James Harden,Houston Rockets,West,4-Dec-17,SG,6'5,220,28,2009,8,2017-2018,2018,Arizona State,0.5,196,99,0
Goran Dragic,Miami Heat,East,27-Nov-17,G,6'3,190,31,2008,9,2017-2018,2018,Union Olimpija (Slovenia),0.5,190,86,0
Anthony Davis,New Orleans Pelicans,West,27-Nov-17,PF,6'10,253,24,2012,5,2017-2018,2018,Kentucky,0.5,208,114,0
DeMar DeRozan,Toronto Raptors,East,20-Nov-17,GF,6'7,220,28,2009,8,2017-2018,2018,USC,0.5,201,99,0
Karl-Anthony Towns,Minnesota Timberwolves,West,20-Nov-17,C,7'0,248,22,2015,2,2017-2018,2018,Kentucky,0.5,213,112,0
Tobias Harris,Detroit Pistons,East,13-Nov-17,F,6'9,235,25,2011,6,2017-2018,2018,Tennessee,0.5,206,106,0
Nikola Jokic,Denver Nuggets,West,13-Nov-17,C,7'0,250,23,2014,2,2017-2018,2018,KK Mega Bemax (Serbia),0.5,213,113,0
Kristaps Porzingis,New York Knicks,East,6-Nov-17,FC,7'3,240,22,2015,2,2017-2018,2018,Real Betis Energia Plus (Spain),0.5,221,108,0
James Harden,Houston Rockets,West,6-Nov-17,SG,6'5,220,28,2009,8,2017-2018,2018,Arizona State,0.5,196,99,0
Victor Oladipo,Indiana Pacers,East,30-Oct-17,G,6'4,210,25,2013,4,2017-2018,2018,Indiana,0.5,193,95,0
DeMarcus Cousins,New Orleans Pelicans,West,30-Oct-17,C,6'11,270,27,2010,7,2017-2018,2018,Kentucky,0.5,211,122,0
Giannis Antetokounmpo,Milwaukee Bucks,East,23-Oct-17,F,6'11,242,23,2013,4,2017-2018,2018,Filathlitikos Div II Greece (Greece),0.5,211,109,0
James Harden,Houston Rockets,West,23-Oct-17,SG,6'5,220,28,2009,8,2017-2018,2018,Arizona State,0.5,196,99,0
Paul George,Indiana Pacers,East,10-Apr-17,GF,6'9,220,26,2010,6,2016-2017,2017,Fresno State,0.5,206,99,0
Russell Westbrook,Oklahoma City Thunder,West,10-Apr-17,G,6'3,200,28,2008,8,2016-2017,2017,UCLA,0.5,190,90,0
Jimmy Butler,Chicago Bulls,East,3-Apr-17,GF,6'8,232,27,2011,5,2016-2017,2017,Marquette,0.5,203,105,0
Stephen Curry,Golden State Warriors,West,3-Apr-17,G,6'3,190,28,2009,7,2016-2017,2017,Davidson,0.5,190,86,0
DeMar DeRozan,Toronto Raptors,East,27-Mar-17,GF,6'7,220,27,2009,7,2016-2017,2017,USC,0.5,201,99,0
James Harden,Houston Rockets,West,27-Mar-17,SG,6'5,220,27,2009,7,2016-2017,2017,Arizona State,0.5,196,99,0
Hassan Whiteside,Miami Heat,East,20-Mar-17,C,7'1,265,27,2010,4,2016-2017,2017,Marshall,0.5,216,120,0
Damian Lillard,Portland Trail Blazers,West,20-Mar-17,G,6'3,195,26,2012,4,2016-2017,2017,Weber State,0.5,190,88,0
John Wall,Washington Wizards,East,13-Mar-17,PG,6'4,210,26,2010,6,2016-2017,2017,Kentucky,0.5,193,95,0
Karl-Anthony Towns,Minnesota Timberwolves,West,13-Mar-17,C,7'0,248,21,2015,1,2016-2017,2017,Kentucky,0.5,213,112,0
Kemba Walker,Charlotte Hornets,East,6-Mar-17,G,6'1,184,26,2011,5,2016-2017,2017,Connecticut,0.5,185,83,0
Kawhi Leonard,San Antonio Spurs,West,6-Mar-17,F,6'7,230,25,2011,5,2016-2017,2017,San Diego State,0.5,201,104,0
LeBron James,Cleveland Cavaliers,East,13-Feb-17,F,6'8,250,32,2003,13,2016-2017,2017,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Blake Griffin,Los Angeles Clippers,West,13-Feb-17,PF,6'10,250,27,2009,7,2016-2017,2017,Oklahoma,0.5,208,113,0
Isaiah Thomas,Boston Celtics,East,6-Feb-17,PG,5'9,185,28,2011,5,2016-2017,2017,Washington,0.5,175,83,0
Stephen Curry,Golden State Warriors,West,6-Feb-17,G,6'3,190,28,2009,7,2016-2017,2017,Davidson,0.5,190,86,0
Dion Waiters,Miami Heat,East,30-Jan-17,SG,6'4,215,25,2012,4,2016-2017,2017,Syracuse,0.5,193,97,0
DeMarcus Cousins,Sacramento Kings,West,30-Jan-17,C,6'11,270,26,2010,6,2016-2017,2017,Kentucky,0.5,211,122,0
Joel Embiid,Philadelphia Sixers,East,23-Jan-17,C,7'0,250,22,2014,2,2016-2017,2017,Kansas,0.5,213,113,0
Kawhi Leonard,San Antonio Spurs,West,23-Jan-17,F,6'7,230,25,2011,5,2016-2017,2017,San Diego State,0.5,201,104,0
DeMar DeRozan,Toronto Raptors,East,16-Jan-17,GF,6'7,220,27,2009,7,2016-2017,2017,USC,0.5,201,99,0
Gordon Hayward,Utah Jazz,West,16-Jan-17,GF,6'8,225,26,2010,6,2016-2017,2017,Butler,0.5,203,102,0
Jimmy Butler,Chicago Bulls,East,9-Jan-17,GF,6'8,232,27,2011,5,2016-2017,2017,Marquette,0.5,203,105,0
Stephen Curry,Golden State Warriors,West,9-Jan-17,G,6'3,190,28,2009,7,2016-2017,2017,Davidson,0.5,190,86,0
John Wall,Washington Wizards,East,2-Jan-17,PG,6'4,210,26,2010,6,2016-2017,2017,Kentucky,0.5,193,95,0
James Harden,Houston Rockets,West,2-Jan-17,SG,6'5,220,27,2009,7,2016-2017,2017,Arizona State,0.5,196,99,0
Isaiah Thomas,Boston Celtics,East,26-Dec-16,PG,5'9,185,28,2011,5,2016-2017,2017,Washington,0.5,175,83,0
Russell Westbrook,Oklahoma City Thunder,West,26-Dec-16,G,6'3,200,28,2008,8,2016-2017,2017,UCLA,0.5,190,90,0
DeMar DeRozan,Toronto Raptors,East,19-Dec-16,GF,6'7,220,27,2009,7,2016-2017,2017,USC,0.5,201,99,0
James Harden,Houston Rockets,West,19-Dec-16,SG,6'5,220,27,2009,7,2016-2017,2017,Arizona State,0.5,196,99,0
LeBron James,Cleveland Cavaliers,East,12-Dec-16,F,6'8,250,32,2003,13,2016-2017,2017,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Marc Gasol,Memphis Grizzlies,West,12-Dec-16,C,7'1,255,32,2007,8,2016-2017,2017,Sant Josep Girona (Spain),0.5,216,115,0
Giannis Antetokounmpo,Milwaukee Bucks,East,5-Dec-16,F,6'11,242,22,2013,3,2016-2017,2017,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Russell Westbrook,Oklahoma City Thunder,West,5-Dec-16,G,6'3,200,28,2008,8,2016-2017,2017,UCLA,0.5,190,90,0
Kevin Love,Cleveland Cavaliers,East,28-Nov-16,FC,6'10,251,28,2008,8,2016-2017,2017,UCLA,0.5,208,113,0
Kevin Durant,Golden State Warriors,West,28-Nov-16,SF,6'9,240,28,2007,9,2016-2017,2017,Texas,0.5,206,108,0
Jimmy Butler,Chicago Bulls,East,21-Nov-16,GF,6'8,232,27,2011,5,2016-2017,2017,Marquette,0.5,203,105,0
Anthony Davis,New Orleans Pelicans,West,21-Nov-16,PF,6'10,253,23,2012,4,2016-2017,2017,Kentucky,0.5,208,114,0
DeMar DeRozan,Toronto Raptors,East,14-Nov-16,GF,6'7,220,27,2009,7,2016-2017,2017,USC,0.5,201,99,0
James Harden,Houston Rockets,West,14-Nov-16,SG,6'5,220,27,2009,7,2016-2017,2017,Arizona State,0.5,196,99,0
LeBron James,Cleveland Cavaliers,East,7-Nov-16,F,6'8,250,32,2003,13,2016-2017,2017,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
George Hill,Utah Jazz,West,7-Nov-16,G,6'3,188,30,2008,8,2016-2017,2017,IUPUI,0.5,190,85,0
LeBron James,Cleveland Cavaliers,East,31-Oct-16,F,6'8,250,32,2003,13,2016-2017,2017,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Russell Westbrook,Oklahoma City Thunder,West,31-Oct-16,G,6'3,200,28,2008,8,2016-2017,2017,UCLA,0.5,190,90,0
Paul Millsap,Atlanta Hawks,East,11-Apr-16,FC,6'8,246,31,2006,9,2015-2016,2016,Louisiana Tech,0.5,203,111,0
Karl-Anthony Towns,Minnesota Timberwolves,West,11-Apr-16,C,7'0,248,20,2015,0,2015-2016,2016,Kentucky,0.5,213,112,0
LeBron James,Cleveland Cavaliers,East,4-Apr-16,F,6'8,250,31,2003,12,2015-2016,2016,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
J.J. Barea,Dallas Mavericks,West,4-Apr-16,G,6'0,185,31,2006,9,2015-2016,2016,Northeastern,0.5,183,83,0
LeBron James,Cleveland Cavaliers,East,28-Mar-16,F,6'8,250,31,2003,12,2015-2016,2016,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Klay Thompson,Golden State Warriors,West,28-Mar-16,G,6'7,215,26,2011,4,2015-2016,2016,Washington State,0.5,201,97,0
Kyle Lowry,Toronto Raptors,East,21-Mar-16,PG,6'1,196,29,2006,9,2015-2016,2016,Villanova,0.5,185,88,0
Kevin Durant,Oklahoma City Thunder,West,21-Mar-16,SF,6'9,240,27,2007,8,2015-2016,2016,Texas,0.5,206,108,0
Kemba Walker,Charlotte Hornets,East,14-Mar-16,G,6'1,184,25,2011,4,2015-2016,2016,Connecticut,0.5,185,83,0
Stephen Curry,Golden State Warriors,West,14-Mar-16,G,6'3,190,27,2009,6,2015-2016,2016,Davidson,0.5,190,86,0
LeBron James,Cleveland Cavaliers,East,7-Mar-16,F,6'8,250,31,2003,12,2015-2016,2016,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Kawhi Leonard,San Antonio Spurs,West,7-Mar-16,F,6'7,230,24,2011,4,2015-2016,2016,San Diego State,0.5,201,104,0
Kyle Lowry,Toronto Raptors,East,29-Feb-16,PG,6'1,196,29,2006,9,2015-2016,2016,Villanova,0.5,185,88,0
Stephen Curry,Golden State Warriors,West,29-Feb-16,G,6'3,190,27,2009,6,2015-2016,2016,Davidson,0.5,190,86,0
Isaiah Thomas,Boston Celtics,East,8-Feb-16,PG,5'9,185,27,2011,4,2015-2016,2016,Washington,0.5,175,83,0
LaMarcus Aldridge,San Antonio Spurs,West,8-Feb-16,FC,6'11,265,30,2006,9,2015-2016,2016,Texas,0.5,211,120,0
Dwyane Wade,Miami Heat,East,1-Feb-16,SG,6'4,220,34,2003,12,2015-2016,2016,Marquette,0.5,193,99,0
Kevin Durant,Oklahoma City Thunder,West,1-Feb-16,SF,6'9,240,27,2007,8,2015-2016,2016,Texas,0.5,206,108,0
Kemba Walker,Charlotte Hornets,East,25-Jan-16,G,6'1,184,25,2011,4,2015-2016,2016,Connecticut,0.5,185,83,0
DeMarcus Cousins,Sacramento Kings,West,25-Jan-16,C,6'11,270,25,2010,5,2015-2016,2016,Kentucky,0.5,211,122,0
John Wall,Washington Wizards,East,18-Jan-16,PG,6'4,210,25,2010,5,2015-2016,2016,Kentucky,0.5,193,95,0
Kevin Durant,Oklahoma City Thunder,West,18-Jan-16,SF,6'9,240,27,2007,8,2015-2016,2016,Texas,0.5,206,108,0
LeBron James,Cleveland Cavaliers,East,11-Jan-16,F,6'8,250,31,2003,12,2015-2016,2016,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Chris Paul,Los Angeles Clippers,West,11-Jan-16,PG,6'0,175,30,2005,10,2015-2016,2016,Wake Forest,0.5,183,79,0
Brook Lopez,Brooklyn Nets,East,4-Jan-16,C,7'0,270,27,2008,7,2015-2016,2016,Stanford,0.5,213,122,0
Draymond Green,Golden State Warriors,West,4-Jan-16,F,6'7,230,25,2012,3,2015-2016,2016,Michigan State,0.5,201,104,0
Marcin Gortat,Washington Wizards,East,28-Dec-15,FC,6'11,240,32,2005,8,2015-2016,2016,Koln 99ers (Germany),0.5,211,108,0
Russell Westbrook,Oklahoma City Thunder,West,28-Dec-15,G,6'3,200,27,2008,7,2015-2016,2016,UCLA,0.5,190,90,0
Reggie Jackson,Detroit Pistons,East,21-Dec-15,G,6'3,208,25,2011,4,2015-2016,2016,Boston College,0.5,190,94,0
Kawhi Leonard,San Antonio Spurs,West,21-Dec-15,F,6'7,230,24,2011,4,2015-2016,2016,San Diego State,0.5,201,104,0
DeMar DeRozan,Toronto Raptors,East,14-Dec-15,GF,6'7,220,26,2009,6,2015-2016,2016,USC,0.5,201,99,0
Kevin Durant,Oklahoma City Thunder,West,14-Dec-15,SF,6'9,240,27,2007,8,2015-2016,2016,Texas,0.5,206,108,0
Reggie Jackson,Detroit Pistons,East,7-Dec-15,G,6'3,208,25,2011,4,2015-2016,2016,Boston College,0.5,190,94,0
Stephen Curry,Golden State Warriors,West,7-Dec-15,G,6'3,190,27,2009,6,2015-2016,2016,Davidson,0.5,190,86,0
Paul George,Indiana Pacers,East,30-Nov-15,GF,6'9,220,25,2010,5,2015-2016,2016,Fresno State,0.5,206,99,0
